,nmin,tmin,nmax,tmax,,,,,,,
SC,5000,15,750000,521187,,,,,,,
SS,5000,15,750000,525093,,,,,,,
SR,5000,31,750000,524578,,,,,,,
IC,5000000,15,1000000000,2703,,,,,,,
IS,5000000,15,1000000000,2718,,,,,,,
IR,5000,15,1000000,528140,,,,,,,
MC,750000,31,1000000000,71250,,,,,,,
MS,750000,46,1000000000,74437,,,,,,,
MR,100000,15,1000000000,192000,,,,,,,
QC,10000,46,n/a,n/a,,,,,,,
QS,500000,15,1000000000,53125,,,,,,,
QR,100000,15,1000000000,192640,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
